reporting_event_number,report_id,event_start_date,approval_status,precinct,beat,crime_description_1,victim_age_1,subject_age_1,subject_ethnicity_1,victim_ethnicity_1,subject_gender_1,victim_gender_1,subject_race_1,victim_race_1,narrative
16374076000,1,1/7/2020 16:00,Draft,-,-,-,-1,-1,-,-,-,-,-,-,-
12345180800,1263,9/9/2022 14:52,UCR Approved,West,M1,Crisis,-1,41,Not Hispanic Or Latino,-,Female,-,White,-,-
12279187379,3324,5/22/2021 9:08,UCR Approved,North,J3,RCW - 9A.46.110.5A | STALKING,24,27,Not Hispanic Or Latino,-,Male,Female,White,White,-
15913377342,5092,12/22/2022 10:29,UCR Approved,West,D1,Narcotics Activity Report (NAR),-1,-1,-,-,-,-,-,-,-
12572161128,6429,7/21/2022 16:43,UCR Approved,South,S1,RCW - 9A.46.020.2B | HARASSMENT PREV CONV DEATH THREAT,36,29,Not Hispanic Or Latino,Not Hispanic Or Latino,Male,Male,White,White,-
14146078926,17573,11/21/2020 8:35,UCR Approved,West,K3,RCW - 9A.52.080 | CRIMINAL TRESPASS 2,60,35,Unknown,-,Male,Male,Unknown,Asian,-
13940900908,17797,9/9/2022 14:29,UCR Approved,East,C2,Crisis,-1,50,Unknown,-,Female,-,White,-,-
13090605178,19424,1/2/2020 15:09,UCR Approved,West,D1,RCW - 9A.52.030 | BURGLARY 2,-1,-1,Not Hispanic Or Latino,-,Male,-,Black or African American,-,-
14956709784,23244,12/15/2022 14:48,UCR Approved,-,-,Narcotics Activity Report (NAR),-1,-1,-,-,-,-,-,-,-
21017103258,24323,12/16/2022 10:45,UCR Approved,Southwest,F3,Narcotics Activity Report (NAR),-1,-1,-,-,-,-,-,-,-
13120961709,29869,1/2/2020 15:57,UCR Approved,South,O3,SMC - 12A.08.020 | PROPERTY DESTRUCTION,-1,-1,-,-,-,-,-,-,-
15376055652,30397,4/28/2022 16:54,UCR Approved,North,B1,Campsite cleanup/public property,-1,-1,-,-,-,-,-,-,-
14112490148,32605,11/24/2020 14:41,UCR Approved,East,E2,RCW - 9A.52.080 | CRIMINAL TRESPASS 2,-1,28,-,-,Male,-,Black or African American,-,-
14102854985,32912,4/29/2022 11:21,UCR Approved,South,O1,Campsite cleanup/public property,-1,-1,-,-,-,-,-,-,-
13422782205,33264,1/2/2020 16:08,UCR Approved,-,-,SMC - 12A.08.060 | THEFT-AUTOACC,24,-1,-,-,-,Female,-,White,-
16249531380,42184,11/22/2020 16:31,UCR Approved,North,N3,RCW - 9A.52.080 | CRIMINAL TRESPASS 2,-1,40,Not Hispanic Or Latino,-,Male,-,White,-,-
17580455615,47612,12/6/2021 9:12,UCR Approved,East,E3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",53,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
16623397949,47613,8/5/2020 16:47,UCR Approved,North,N1,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",24,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
22637360843,47614,1/18/2021 14:26,UCR Approved,Southwest,W1,SMC - 12A.08.020 | PROPERTY DESTRUCTION (1ST DEGREE) - NON RESIDENTIAL,53,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
13679575500,47615,7/1/2022 9:21,UCR Approved,North,N3,SMC - 12A.08.120 | VEHICLE PROWLING,37,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
20280931157,47616,7/28/2022 9:46,UCR Approved,-,-,SMC - 12A.08.060 | THEFT-OTH,-1,-1,-,-,-,-,-,-,-
19359538269,47617,5/16/2020 10:11,UCR Approved,East,C1,SMC - 12A.08.120 | VEHICLE PROWLING,39,-1,-,Unknown,-,Female,-,White,-
16676954104,47618,1/19/2021 16:22,UCR Approved,East,G3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",41,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
18508212910,47619,6/4/2021 16:52,UCR Approved,Southwest,F3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",52,-1,-,Unknown,-,Female,-,Asian,-
18031103480,47620,12/7/2021 14:17,UCR Approved,North,B3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",54,-1,-,Unknown,-,Male,-,Asian,-
14813078402,47621,2/26/2022 11:54,UCR Approved,North,U3,RCW - 9A.56.200 | ROBBERY 1,42,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
16356212790,47622,11/29/2020 8:17,UCR Approved,South,R1,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",39,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
19135773134,47623,12/23/2021 16:04,UCR Approved,North,L2,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",47,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
15092714224,47624,4/17/2021 12:57,UCR Approved,North,U2,SMC - 12A.08.020 | PROPERTY DESTRUCTION,38,-1,-,-,Male,Male,White,White,-
21953547242,47625,6/26/2021 10:27,UCR Approved,West,K3,SMC - 12A.08.120 | VEHICLE PROWLING,62,-1,-,Unknown,-,Male,-,Asian,-
20436815267,47626,10/3/2020 10:13,UCR Approved,North,U2,SMC - 12A.08.120 | VEHICLE PROWLING,22,-1,-,Not Hispanic Or Latino,-,Female,-,Asian,-
14838553576,47627,6/1/2021 14:51,UCR Approved,West,D2,SMC 11.56.020 | PRSN UNDER THE INFLUENCE OF INTOXICANTS/DRUGS - DUI-DRUGS/LIQUOR,-1,44,-,-,Female,-,White,-,-
18580369842,47628,4/11/2021 13:56,UCR Approved,North,B2,SMC - 12A.08.120 | VEHICLE PROWLING,25,-1,-,Hispanic Or Latino,-,Male,-,White,-
14750138999,47629,1/10/2022 9:24,UCR Approved,West,K3,RCW - 9A.36.021 | ASSAULT - ASSAULT 2,46,-1,-,Unknown,-,Male,-,Asian,-
17010368102,47630,12/9/2022 10:19,UCR Approved,South,R2,Suspicious Circumstance,-1,59,Not Hispanic Or Latino,-,Male,-,Black or African American,-,-
16828779495,47631,2/8/2022 8:42,UCR Approved,South,R2,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",30,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
14536794546,47632,9/24/2021 15:43,UCR Approved,East,E1,RCW - 9A.52.030 | BURGLARY 2,-1,-1,-,-,Male,-,White,-,-
16119733075,47633,10/7/2020 15:06,UCR Approved,North,U3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",47,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
21177904999,47634,12/25/2022 11:29,UCR Approved,South,R2,SMC - 12A.08.060 | THEFT-OTH,33,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
16785874525,47635,8/4/2021 13:26,UCR Approved,East,C1,Disturbance-Family-No Crime,-1,25,Unknown,-,Male,-,Unknown,-,-
14858993156,47636,12/28/2022 16:32,UCR Approved,West,K1,RCW - 9A.48.020 | FIRE - ARSON 1,-1,34,Not Hispanic Or Latino,-,Male,-,Black or African American,-,-
14487642839,47637,12/13/2022 10:32,UCR Approved,West,D2,RCW - 9.61.230.1 | TELEPHONE HARASSMENT,55,56,-,-,Male,Female,White,White,-
22979887763,47638,6/23/2021 8:38,UCR Approved,South,R3,SMC - 12A.08.020 | PROPERTY DESTRUCTION (1ST DEGREE) - NON RESIDENTIAL,67,-1,-,Unknown,-,Female,-,White,-
21826393372,47639,12/9/2021 10:09,UCR Approved,North,L2,SMC - 12A.08.120 | VEHICLE PROWLING,-1,-1,-,-,-,-,-,-,-
19227393957,47640,6/20/2021 8:39,UCR Approved,North,L2,SMC - 12A.08.120 | VEHICLE PROWLING,45,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
16147465465,47641,4/22/2022 13:40,UCR Approved,West,K3,Disturbance-Other,-1,50,Not Hispanic Or Latino,-,Male,-,Black or African American,-,-
15140608486,47642,12/12/2020 9:38,UCR Approved,Southwest,F2,RCW - 9A.52.025 | BURGLARY RESIDENTIAL,77,43,Not Hispanic Or Latino,-,Female,Female,White,Asian,-
16983965985,47643,9/5/2021 12:52,UCR Approved,West,D2,RCW - 9A.52.030 | BURGLARY 2,29,-1,-,-,-,Male,-,Unknown,-
19585524958,47644,1/3/2020 8:57,UCR Approved,North,U2,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",-1,-1,-,-,-,-,-,-,-
16848257046,47645,5/2/2021 14:17,UCR Approved,West,M1,SMC - 12A.08.040(A) | CRIMINAL TRESPASS - 1ST DEGREE (BUILDING),-1,37,Not Hispanic Or Latino,-,Male,-,White,-,-
13624391896,47646,10/25/2021 9:24,UCR Approved,North,J2,RCW - 9A.52.030 | BURGLARY 2,45,-1,-,-,-,Male,-,Unknown,-
18423959472,47647,2/28/2021 15:15,UCR Approved,North,L2,SMC - 12A.08.120 | VEHICLE PROWLING,31,-1,-,Not Hispanic Or Latino,-,Male,-,Unknown,-
15311905898,47648,5/2/2021 12:17,UCR Approved,West,Q2,SMC - 12A.08.120 | VEHICLE PROWLING,68,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
14743033437,47649,10/10/2021 8:33,UCR Approved,East,C1,RCW - 9A.52.030 | BURGLARY 2,49,-1,-,-,-,Male,-,Asian,-
19718608722,47650,2/23/2020 15:39,UCR Approved,North,J1,SMC - 12A.08.120 | VEHICLE PROWLING,28,-1,-,Unknown,-,Male,-,Unknown,-
19208616530,47651,12/24/2020 12:32,UCR Approved,East,C3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",48,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
17413658058,47652,2/11/2020 11:53,UCR Approved,Southwest,W3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",40,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
16098169397,47653,12/29/2020 16:44,UCR Approved,East,C2,SMC - 12A.08.120 | VEHICLE PROWLING,48,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
15739664566,47654,11/21/2021 15:37,UCR Approved,North,L1,SMC - 12A.08.040(B) | CRIMINAL TRESPASS - 2ND DEGREE (PREMISES),-1,22,Unknown,-,Male,-,White,-,-
18746821430,47655,11/24/2022 8:13,UCR Approved,East,C1,SMC - 12A.08.060 | THEFT-BUILDING,29,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
14190369447,47656,8/12/2021 10:53,UCR Approved,West,D2,RCW - 9A.52.030 | BURGLARY 2,-1,-1,-,-,-,-,-,-,-
22238574837,47657,1/11/2021 11:40,UCR Approved,North,L3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",63,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
15295478679,47658,8/3/2021 8:45,UCR Approved,South,R1,SMC - 12A.08.060 | THEFT-MAIL,39,-1,-,-,-,Male,-,Unknown,-
21361209150,47659,10/18/2022 8:17,UCR Approved,West,K2,SMC - 12A.08.020 | PROPERTY DESTRUCTION (1ST DEGREE) - NON RESIDENTIAL,-1,-1,-,-,-,-,-,-,-
16626835664,47660,3/20/2021 10:34,UCR Approved,North,U3,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",60,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
14756560454,47661,7/7/2020 12:51,UCR Approved,Southwest,W3,RCW - 10.99.040 | NO CONTACT ORDER VIOLATION,43,50,Not Hispanic Or Latino,Not Hispanic Or Latino,Male,Female,White,White,-
15515203867,47662,12/17/2021 14:17,UCR Approved,West,K3,Crisis,-1,34,Not Hispanic Or Latino,-,Female,-,White,-,-
20774769487,47663,7/2/2020 14:12,UCR Approved,East,G1,SMC - 12A.08.060 | THEFT-BICYCLE,29,-1,-,Unknown,-,Male,-,Black or African American,-
13976428991,47664,8/1/2021 11:37,UCR Approved,Southwest,F1,RCW - 9A.52.030 | BURGLARY 2,28,-1,-,-,-,Male,-,Unknown,-
14042104350,47665,3/25/2022 10:53,UCR Approved,South,R3,RCW - 9A.56.075 | TAKING A MOTOR VEHICLE WITHOUT PERMISSION 2,35,-1,-,Not Hispanic Or Latino,Female,Female,Black or African American,Black or African American,-
15900303913,50947,1/2/2020 15:30,UCR Approved,South,S1,RCW - 9A.36.041 | ASSAULT - ASSAULT 4,46,52,-,Not Hispanic Or Latino,Male,Female,Black or African American,White,-
17473507269,53274,1/2/2020 15:41,UCR Approved,North,U1,SMC - 12A.08.060 | THEFT-OTH,31,-1,-,Not Hispanic Or Latino,-,Male,-,White,-
15911813735,60648,1/2/2020 16:04,UCR Approved,North,U3,RCW - 9A.52.030 | BURGLARY 2,75,-1,-,Unknown,-,Male,-,White,-
14863640619,61042,1/2/2020 16:23,UCR Approved,North,B3,Incident Contains Bias Elements -- NO CRIME,34,41,Unknown,Unknown,Male,Gender Diverse (gender non-conforming and/or transgender),Black or African American,White,-
21933708431,61481,1/2/2020 15:29,UCR Approved,South,R2,SMC - 12A.08.060 | THEFT-OTH,-1,-1,-,-,-,-,-,-,-
