report_id,reporting_event_number,subject_ethnicity,subject_gender,subject_personid,offense_id,offense_code_id,subject_race,subject_age,victim_age,victim_ethnicity,victim_gender,victim_personid,victim_race,beat,sector,crime_description,precinct,event_start_date,approval_status,report_submitted_date,report_ucr_approved_by
112696,65103817041,Not Hispanic Or Latino,Female,2682,58247,11638337928,White,-1,35,Not Hispanic Or Latino,Male,1448,Asian,L2,L,RCW - 9A.36.080 | HATE CRIME OFFENSE,North,6/25/2024 19:20,UCR Approved,6/26/2024 11:04,7075
112696,65103817041,,,,-1,-1,,,,,,,,L2,L,-,North,6/25/2024 19:20,UCR Approved,6/26/2024 11:04,7075
112696,65103817041,Not Hispanic Or Latino,Female,2682,58247,11638337928,White,-1,50,Not Hispanic Or Latino,Female,1449,White,L2,L,RCW - 9A.36.080 | HATE CRIME OFFENSE,North,6/25/2024 19:20,UCR Approved,6/26/2024 11:04,7075
113267,65103817606,Not Hispanic Or Latino,Male,3340,58892,20181678124,White,59,36,Not Hispanic Or Latino,Unknown,1800,Black or African American,R1,R,Offense Contains Bias Elements -- CRIME,South,6/28/2024 10:33,UCR Approved,6/29/2024 9:35,9662
113267,65103817606,,,,-1,-1,,,,,,,,R1,R,-,South,6/28/2024 10:33,UCR Approved,6/29/2024 9:35,9662
113267,65103817606,Not Hispanic Or Latino,Male,3340,58893,12607733420,White,59,36,Not Hispanic Or Latino,Unknown,1800,Black or African American,R1,R,RCW 9A.46.020.2A I HARASSMENT - MISDEMEANOR,South,6/28/2024 10:33,UCR Approved,6/29/2024 9:35,9662
113428,65103817772,,,,-1,-1,,,,,,,,R2,R,-,South,6/29/2024 14:20,UCR Approved,6/29/2024 16:52,9764
113428,65103817772,Not Hispanic Or Latino,Male,3508,59066,4164544882,Black or African American,70,54,Unknown,Male,1921,White,R2,R,SMC - - 12A.06.115 | MALICIOUS HARASSMENT,South,6/29/2024 14:20,UCR Approved,6/29/2024 16:52,9764
111257,65103815568,-,-,1001,56592,4164508584,-,-1,50,Not Hispanic Or Latino,Male,1,Black or African American,K3,K,"RCW - 9A.60 | FRAUD, IDENTITY THEFT",West,6/15/2024 9:05,UCR Approved,6/19/2024 22:32,9662
111257,65103815568,,,,-1,-1,,,,,,,,K3,K,-,West,6/15/2024 9:05,UCR Approved,6/19/2024 22:32,9662
