employee_id,gender_binary,Cad Count,Complaints Count Sus,Complaints Count,Highest Rank,Io Report Count,Dollars Earned (Gross),Certifications Count,Unit Count,Military Experience,Hours Worked,Max. Comp. Rate,Promotion Count,American Indian/Alaska Native,Asian,Black or African American,Hispanic or Latino,Nat Hawaiian/Oth Pac Islander,Two or More Races,Unknown,White,Last Pay Year,Year of Birth
17240,0,368,0,0,10,0,1347287.04,0,2,0,21974.7,115.88,1,0,1,0,0,0,0,0,0,2021,1954
15141,0,578,2,2,11,2,1199434.84,0,2,0,18529,117.38,1,0,0,0,0,0,0,0,1,2021,1958
17500,1,256,10,13,6,4,1575919.38,3,4,0,26913.95,95.7,0,0,0,1,0,0,0,0,0,2024,1955
14401,1,696,8,8,4,25,813363.21,0,1,0,14243,98.58,0,0,0,0,0,0,0,0,1,2017,1955
15276,1,31,0,0,6,0,814710.78,0,1,0,15050.75,100.76,0,0,0,0,0,0,0,0,1,2019,1956
17155,0,99,1,1,6,7,841788.82,0,1,0,15150.25,99.88,0,0,0,0,0,0,0,0,1,2018,1955
18235,1,677,0,2,4,29,937207.91,0,3,0,18652.75,99.88,0,0,0,0,0,0,0,0,1,2020,1961
12931,0,16045,2,4,4,834,1105202.26,0,2,0,19786.3,77.52,0,0,1,0,0,0,0,0,0,2022,1962
13164,1,19,0,0,15,0,1896175.45,0,1,0,20490,107.44,1,0,0,0,0,0,0,0,1,2022,1958
12934,1,12,2,2,10,7,695020.13,0,2,0,11810.25,86.91,0,0,0,0,0,0,0,0,1,2018,1957
13767,1,704,0,0,4,408,280662.49,0,1,0,6447.25,76.545,0,0,0,0,0,0,0,0,1,2016,1947
13956,0,56,3,4,15,1,2083365.94,0,1,0,22835.5,111.73,1,0,0,0,0,0,0,1,0,2023,1955
16763,0,508,2,2,4,510,342587.34,0,1,0,6845,75.075,0,0,0,0,0,0,0,0,1,2016,1948
16708,0,5300,1,2,7,675,623832.3,0,2,0,12284.38,104.8,0,0,0,0,0,0,0,0,1,2019,1956
15422,0,8218,3,10,6,1787,1043973.31,0,4,0,18907.25,96.94,2,0,0,0,1,0,0,0,0,2021,1955
16437,0,274,3,3,4,42,549897.53,0,2,1,10935.25,99.88,0,0,0,0,1,0,0,0,0,2017,1956
16064,0,5667,8,8,4,520,454303.3,0,2,0,8553.75,102.06,0,0,0,0,0,0,0,0,1,2016,1956
14670,0,24,0,0,14,0,1136620.28,0,1,0,12970,98.72,0,0,0,0,0,0,0,0,1,2019,1952
17664,0,600,0,4,8,4,892773.8,0,2,0,14134,117.38,0,0,0,0,0,0,0,0,1,2018,1955
14509,0,372,0,1,4,13,542032.63,0,2,0,10025.25,105.1,0,0,0,0,0,0,0,0,1,2017,1957
18254,1,377,0,2,8,4,1016964.43,0,2,0,16121.5,117.38,0,0,0,0,0,0,0,0,1,2020,1950
15729,0,2564,6,6,4,165,802648.02,0,4,0,15205.05,78.6,0,0,0,0,0,0,0,0,1,2020,1946
12940,0,1141,0,5,8,2,1503656.83,0,5,0,24490.75,117.38,0,0,0,0,0,0,0,0,1,2023,1955
16176,0,418,5,6,11,3,1412590.28,0,2,0,21465.5,115.88,2,0,0,0,0,0,0,0,1,2023,1957
17994,0,167,0,0,14,0,1607766.21,0,0,0,18343,122.475,0,0,0,1,0,0,0,0,0,2021,1954
14897,0,1974,1,4,4,70,988483.6,0,2,0,17577,102.06,0,0,0,0,0,0,0,0,1,2019,1955
17907,0,924,2,2,4,303,407295.75,0,1,0,7781,96.94,0,0,0,0,0,0,0,0,1,2016,1952
13188,0,39,4,7,12,1,1052749.2,0,4,0,13913.5,106.74,0,0,0,0,0,0,0,0,1,2018,1951
17219,0,479,0,0,8,0,630356.52,0,2,0,10347.5,117.38,0,0,1,0,0,0,0,0,0,2017,1951
17583,0,101,1,2,6,152,459650.71,0,2,0,8600,77.865,1,0,0,0,0,0,0,0,1,2016,1948
12960,0,78,0,0,4,856,457208.63,0,2,0,8992,76.545,0,0,0,0,0,0,0,0,1,2017,1949
12895,0,16,0,0,14,0,1158559.69,0,1,0,13298,98.72,0,0,0,0,0,0,0,0,1,2019,1958
17832,1,0,0,0,12,0,370521.4,0,1,0,5414,106.74,0,0,0,0,0,0,0,0,1,2015,1951
17018,0,13,0,0,13,0,654893.11,0,1,0,8615.75,106.74,1,0,0,0,0,0,0,0,1,2016,1950
15899,0,1311,0,1,8,67,456384.77,0,3,0,7842.7,117.38,0,0,0,0,0,0,0,0,1,2016,1953
14777,0,773,1,1,8,11,337640.83,0,1,0,5616.25,91.395,0,0,0,0,0,0,0,0,1,2015,1953
15567,0,146,0,0,4,15,457380.61,0,2,0,9094.5,102.06,0,0,1,0,0,0,0,0,0,2017,1946
13178,0,315,0,0,14,0,942101.35,0,1,0,11377,95.29,0,0,0,0,0,0,0,0,1,2018,1948
14838,0,38,1,1,6,11,994919.52,0,2,0,18573.25,98.8,0,0,0,0,0,0,0,0,1,2021,1955
12688,0,2,0,0,6,0,441167.26,0,2,0,8877.5,75.57,0,0,0,0,0,0,0,0,1,2017,1950
15309,0,1329,1,1,8,7,500782.4,0,2,0,8283.25,85.035,0,0,0,0,0,0,0,0,1,2016,1960
13752,1,1609,3,6,12,13,1505299.01,0,3,0,22886.04,96.555,2,0,0,0,0,0,0,0,1,2023,1957
16701,0,5161,4,7,4,823,472397.94,0,3,0,11391.5,78.6,0,0,1,0,0,0,0,0,0,2018,1952
15413,0,2,1,1,4,2,351456.21,0,1,0,6900,76.545,0,0,0,0,0,0,0,0,1,2016,1954
14273,0,368,6,9,4,53,473721.47,0,2,0,8551,99.88,0,0,0,0,0,0,0,0,1,2015,1955
15372,0,3563,4,4,4,630,416266.26,0,2,0,8208.25,76.545,0,0,0,0,0,0,0,0,1,2016,1948
12852,0,19050,12,19,4,2979,1903942.03,1,4,0,31659.45,98.58,0,0,0,0,0,0,0,0,1,2024,1961
14436,0,915,3,4,8,2,1583269.25,0,4,0,30260.26,113.38,0,0,0,1,0,0,0,0,0,2021,1963
14176,0,12,0,0,14,0,1913463.14,0,1,0,21096,114.75,0,0,0,0,0,0,0,1,0,2023,1952
15722,0,13,0,0,11,0,422133.32,0,1,0,7219.5,93.555,1,0,0,0,0,0,0,0,1,2016,1956
16837,0,30,0,0,6,49,252003.21,0,1,0,5137.25,75.57,0,0,0,0,0,0,0,0,1,2015,1953
16458,0,5893,3,5,4,1073,322840.34,0,2,0,6360.75,76.545,0,0,0,0,0,0,0,0,1,2015,1957
16969,0,387,0,0,14,0,2289991.47,3,1,0,23995,123.7251,0,0,0,0,0,0,0,0,1,2024,1959
16524,0,97,0,0,6,3,607757.16,0,4,0,16214.63,76.86,0,0,0,0,0,0,0,0,1,2018,1952
12850,0,169,2,2,8,3,1018349.4,0,2,0,16207.25,113.38,0,0,0,0,0,0,0,0,1,2019,1958
16184,0,1379,0,0,4,155,953586.35,0,2,0,17336,102.06,0,0,1,0,0,0,0,0,0,2020,1952
13651,0,0,0,0,6,0,479203.95,0,3,0,9579.5,75.57,0,0,0,0,0,0,0,0,1,2017,1952
16139,0,6469,3,5,4,1461,454821.12,0,1,0,8966.75,76.545,0,0,0,0,0,0,0,0,1,2017,1956
14891,0,2891,3,4,8,189,305573.47,0,1,0,5293,88.035,0,0,0,0,0,0,0,0,1,2015,1948
18220,0,194,1,1,4,6,419729.8,0,1,0,7507,98.58,0,0,0,0,0,0,0,0,1,2015,1954
17862,0,1862,3,4,8,179,806169.08,0,2,0,13335.75,96.555,0,0,1,0,0,0,0,0,0,2019,1953
13804,0,1126,2,2,5,323,819983.97,0,3,0,15334.25,77.52,1,0,0,0,0,0,0,0,1,2020,1950
13839,0,3,0,0,6,1,355545.6,0,1,0,7232,50.38,0,0,0,0,0,0,0,0,1,2016,1951
17535,0,5753,1,1,4,653,354460.98,0,2,0,6979.75,76.545,0,0,0,0,0,0,0,0,1,2016,1949
15428,0,190,1,1,8,5,537916.17,0,1,0,9425.96,113.38,0,0,1,0,0,0,0,0,0,2015,1956
15478,0,196,1,1,12,1,1147279,0,1,0,14791.3,118.86,0,0,1,0,0,0,0,0,0,2018,1956
16760,0,96,3,6,6,17,450770.54,0,2,1,9883.75,76.86,0,0,0,0,0,0,0,0,1,2016,1958
17172,0,179,1,1,6,148,285106.33,0,1,0,5608,100.76,0,0,0,0,0,0,0,0,1,2015,1950
16206,0,267,1,1,4,1,631809.23,0,2,0,12199.5,102.06,0,0,0,0,0,0,0,0,1,2018,1957
15232,0,1237,2,3,12,29,643704.21,0,5,0,10065.75,117.38,1,0,0,0,0,0,0,0,1,2017,1954
13244,0,79,4,5,6,1,1537743.91,4,2,0,29200.38,76.91,0,0,1,0,0,0,0,0,0,2024,1958
15029,0,730,2,2,7,43,568507.24,0,1,0,10665,104.8,1,0,0,0,0,0,0,0,1,2017,1955
15932,0,1094,0,0,12,142,1080470.25,0,2,0,14731.75,106.74,0,0,1,0,0,0,0,0,0,2019,1953
17170,0,233,2,5,12,1,1968536.55,0,5,0,24342.5,118.86,0,1,0,0,0,0,0,0,0,2024,1954
12938,0,160,3,3,8,12,483927.75,0,2,0,11163.75,93.555,0,0,0,0,0,0,0,0,1,2016,1953
14862,0,5,0,0,11,1,437385.84,0,1,0,7106.75,117.38,1,0,0,0,0,0,0,0,1,2016,1953
17305,0,18,0,0,10,0,1218846.52,0,5,0,21536.5,115.88,1,0,0,0,0,0,0,0,1,2021,1957
15495,0,4678,0,0,4,624,406385.81,0,3,0,11450.5,76.545,0,0,1,0,0,0,0,0,0,2018,1955
15171,0,45,1,1,6,2,780369.76,0,2,0,16926.35,76.86,0,0,0,0,0,0,0,0,1,2019,1953
13321,0,1173,3,5,10,882,1076576.28,0,3,0,17475.25,86.91,0,0,0,0,0,0,0,0,1,2021,1959
16106,0,60,0,0,12,0,794576.24,0,3,0,10983,106.74,0,0,0,0,0,0,0,0,1,2017,1953
13011,0,255,0,0,6,284,292293.5,0,1,0,5749.5,77.865,0,1,0,0,0,0,0,0,0,2015,1952
16528,1,1,0,0,10,0,424826.87,0,2,0,9339.25,86.91,0,1,0,0,0,0,0,0,0,2016,1950
16673,0,1,0,0,4,0,664582.44,0,2,0,12834.25,99.88,0,0,0,0,0,0,0,0,1,2018,1955
16645,0,168,1,1,6,130,620613.94,0,2,0,11469.25,100.76,0,0,1,0,0,0,0,0,0,2017,1958
13177,1,89,2,6,16,5,2428022.14,0,1,0,24398.5,124.184,0,0,0,0,0,0,0,0,1,2024,1961
16351,0,219,0,0,14,0,2024898.2,0,1,0,21364,114.75,0,0,0,0,0,0,0,0,1,2023,1961
18326,0,3452,6,7,4,635,945415.24,0,3,0,17235.5,76.545,0,0,0,0,0,0,0,0,1,2020,1961
15590,0,891,8,8,8,9,697892.31,0,2,0,11580.5,96.555,0,0,0,0,0,0,0,0,1,2018,1956
14916,0,109,1,1,4,5,289614.7,0,1,0,5537,93.24,0,0,0,0,0,0,0,0,1,2015,1951
15526,0,384,0,0,8,0,472007.14,0,3,0,10722,88.035,0,0,0,0,1,0,0,0,0,2017,1956
17138,1,15,0,0,6,3,309284.62,0,1,0,6547.75,71.655,0,0,0,0,1,0,0,0,0,2016,1964
12949,0,11985,5,11,8,2019,1189409.96,0,3,0,19512,83.04,1,1,0,0,0,0,0,0,0,2021,1957
15083,0,11,0,1,4,1,1439117.32,0,2,0,25085.75,99.88,0,0,0,0,1,0,0,0,0,2023,1957
13046,0,588,1,1,8,2,664088.19,0,2,0,10544.25,96.555,0,0,1,0,0,0,0,0,0,2017,1951
16589,0,1484,3,3,8,300,675952.02,0,2,0,11648,107.74,0,0,0,0,0,0,0,0,1,2018,1965
16804,0,124,1,2,11,4,1215169.06,0,2,0,19540,86.91,1,0,0,0,0,0,0,0,1,2022,1962
18036,0,4969,1,1,6,277,1998525,4,3,0,32386.25,99.02,0,0,0,1,0,0,0,0,0,2024,1961
17705,1,1,0,0,1,1,9790.2,0,1,0,196,49.95,0,0,0,1,0,0,0,0,0,2015,1959
17384,1,67,0,0,6,57,548032.28,0,2,0,10851.5,75.57,0,0,0,0,0,0,0,0,1,2018,1962
16799,0,9,5,5,6,1,496001.2,0,2,0,9528.25,76.86,0,0,0,0,0,0,0,0,1,2017,1955
17623,0,1270,1,4,7,437,773627.7,0,3,0,14550.25,102.06,0,0,0,0,0,0,0,0,1,2019,1961
17776,0,868,2,9,13,10,2028875.42,0,3,0,24814.75,118.86,1,0,1,0,0,0,0,0,0,2023,1960
13392,0,1541,1,2,8,13,1489093.81,0,7,0,22868.5,109.62,0,0,1,0,0,0,0,0,0,2023,1957
14986,0,3919,1,2,4,929,1276209.34,0,1,0,22650,100.32,0,0,0,1,0,0,0,0,0,2023,1958
15484,0,814,8,10,4,21,660129.68,0,1,0,11770.45,99.88,0,0,0,0,0,0,0,0,1,2017,1960
15753,1,3,0,0,4,0,354981.6,0,2,0,7009.75,98.58,0,0,0,0,0,0,0,0,1,2015,1961
13886,0,3365,8,8,4,603,311499.35,0,1,0,6210.75,76.545,0,0,0,1,0,0,0,0,0,2015,1958
18306,0,218,0,0,4,88,845756.03,0,2,0,15760,75.57,0,0,0,0,0,0,0,0,1,2019,1960
13318,0,522,1,1,7,118,1046562.21,0,2,0,18579.75,99.88,1,0,0,0,0,0,0,0,1,2019,1957
15124,0,90,4,8,15,2,2286936.24,4,0,0,24270,136.2608,2,0,0,1,0,0,0,0,0,2024,1960
17616,0,249,0,0,10,1,1529148.05,0,1,0,33469.71,120.86,0,0,0,0,0,0,0,1,0,2021,1956
17257,0,745,2,2,6,48,1429929.65,3,2,0,25288,100.76,0,0,0,0,0,0,0,0,1,2024,1962
16909,0,2411,17,23,4,375,1708733.94,0,2,0,30239.5,99.88,0,0,1,0,0,0,0,0,0,2023,1961
15536,0,8,0,0,13,0,1014669.79,0,2,0,13869,106.74,1,0,0,0,0,0,0,0,1,2019,1956
15537,0,215,0,0,6,11,1717294.75,0,3,0,31830.46,105.1,0,0,1,0,0,0,0,0,0,2024,1963
17707,0,160,11,18,14,2,2053245.36,0,0,0,22155.25,127.035,0,0,1,0,0,0,0,0,0,2023,1962
18223,0,5037,4,5,4,733,743499.23,0,4,0,17301.25,78.18,0,0,0,0,0,0,0,0,1,2019,1962
15307,0,1365,1,2,8,16,921312.87,0,2,0,15118.25,88.035,0,0,0,0,0,1,0,0,0,2019,1955
17651,0,6501,2,4,4,1809,1145843.96,0,2,0,22707.5,76.545,0,0,0,0,0,0,0,0,1,2023,1961
15682,0,1748,6,6,13,21,2194739.71,0,7,0,38323.53,115.68,1,0,0,0,0,0,0,0,1,2024,1959
14664,0,662,1,1,6,1,1104912.64,0,3,0,19916.25,100.76,2,0,0,0,0,0,0,0,1,2021,1962
15004,0,2000,5,8,6,65,1342181.51,0,1,0,23415.5,100.76,0,0,0,0,0,0,0,0,1,2022,1956
16853,0,8765,14,16,7,613,1409110.23,0,3,0,23900.75,99.88,2,0,0,0,0,0,0,0,1,2021,1962
16415,0,19,0,0,10,0,968287.64,0,3,0,15612.05,115.88,1,0,0,1,0,0,0,0,0,2019,1961
13922,0,5723,10,11,4,739,412971.35,0,2,0,8214,76.545,0,0,0,0,0,0,0,0,1,2016,1961
17834,0,32,6,7,8,1,571736.6,0,1,0,9637.5,115.88,0,0,0,0,0,0,0,0,1,2017,1955
15188,0,17439,9,16,4,3500,1476302.21,5,3,0,25451,95.3,0,0,1,0,0,0,0,0,0,2024,1953
15727,0,32,0,0,14,0,1807535.2,0,0,0,19896,110.35,0,0,0,0,0,0,0,0,1,2022,1961
14547,0,68,0,0,12,0,1255060.01,0,2,0,16873.55,115.68,0,0,0,0,0,0,0,0,1,2020,1951
12731,0,8256,1,1,4,4224,251416.32,0,1,0,5120,51.03,0,0,0,0,0,0,0,0,1,2015,1957
13674,0,895,4,4,8,4,586998.68,0,2,0,9809.5,117.38,0,0,0,0,0,0,0,0,1,2017,1962
17555,0,19874,3,5,4,3235,1981398.96,3,1,0,31125.45,77.89,0,0,1,0,0,0,0,0,0,2024,1961
17617,0,113,1,1,6,14,568857.34,0,2,0,10693.75,100.76,0,0,0,0,0,0,0,0,1,2020,1956
17208,0,6404,2,4,4,803,319807.99,0,1,0,6472.25,76.545,0,0,0,0,0,0,0,0,1,2016,1952
